"SR","FRic","FEve","FDiv","FDis","RaoQ","kde.alpha","kde.evenness","kde.dispersion","sev.blueplots","n_trait","traits","mean_cor","min_cor","max_cor"
2,NA,NA,NA,0.139397888769446,0.134996572016259,0.604274791032333,0.60821755374344,0.410687667321707,"5 W 3",2,1,NA,NA,NA
6,1.88912646384617,0.144085067617887,0.545147211724631,0.650497266847945,0.489841230309513,0.317131653796759,0.649737299674065,0.345628450056005,"4 E 1",2,1,NA,NA,NA
3,0.1092116743651,0.997616045627815,0.893761363458957,0.352411820606286,0.149600793946712,0.0760774722772832,0.498253610366307,0.155617629469976,"2 N 3",2,1,NA,NA,NA
5,3.28780431534825,0.454384573643486,0.539816883073067,0.396202161070312,0.415056797413422,0.680082189544616,0.477309947470672,0.42993630148832,"5 W 1",2,1,NA,NA,NA
2,NA,NA,NA,0.418041922312244,0.175694769781345,0.0867583590298758,0.567852834802,0.186695408375022,"1 E 1",2,1,NA,NA,NA
2,NA,NA,NA,0.12746303914699,0.0165619163141355,0.0119050743994582,0.885967225434805,0.0587500144695752,"4 N 1",2,1,NA,NA,NA
3,0.0107490099271167,0.407819209183721,0.925596811743211,0.101634507648114,0.0197672097987527,0.0183218123422058,0.673748072795074,0.0727563347910238,"5 N 1",2,1,NA,NA,NA
2,NA,NA,NA,0.300733878324274,0.126392513998079,0.0826097878854723,0.574032341265214,0.17962288878973,"4 N 3",2,1,NA,NA,NA
4,0.551606244052965,0.644902786061189,0.718896162144476,0.270529089592367,0.118511671723138,0.138083373550123,0.535021712452851,0.19964457631211,"1 N 1",2,1,NA,NA,NA
9,7.90659101566386,0.789795284820785,0.893212781962024,0.876863240693702,1.19013573092833,0.831085287180285,0.502156774773749,0.477933706533959,"4 E 3",2,1,NA,NA,NA
3,0.725507617043284,0.511497894792134,0.689982429199784,0.497264747591004,0.362412335646643,0.450764699510364,0.66879498569905,0.348393502802272,"3 W 1",2,1,NA,NA,NA
3,0.1092116743651,0.874882071695543,0.852996063964115,0.401681958886621,0.169284361258414,0.0760219301000106,0.492661706627261,0.156513723629851,"2 E 3",2,1,NA,NA,NA
2,NA,NA,NA,0.0524803660443988,0.0220564621347338,0.0668065574105427,0.478746980239077,0.158355180191172,"2 W 3",2,1,NA,NA,NA
3,0.481276640639418,0.385438606567055,0.603566666865993,0.433469085917598,0.209696081181426,0.209553571487736,0.558195541439685,0.34201729778379,"3 E 3",2,1,NA,NA,NA
5,0.382982907175518,0.796747124944745,0.564630462671708,0.329939258449479,0.143869033654614,0.101631573047824,0.501360596013534,0.167098643739641,"5 E 1",2,2,NA,NA,NA
5,3.14953211784398,0.694029339474156,0.91947266000255,0.668355825110786,0.832880105620046,0.610328930663551,0.545347084891926,0.439722532195833,"4 W 1",2,2,NA,NA,NA
5,1.84495193875632,0.46003835508328,0.970674448042628,0.559771374409112,0.937784300913658,0.411793431260791,0.644913794309759,0.525894099015231,"2 W 1",2,2,NA,NA,NA
8,4.6678332752934,0.212970277304442,0.750814503086829,0.451783206697516,0.320780717649687,0.491276188063426,0.434407930657242,0.389690563565912,"5 N 3",2,2,NA,NA,NA
2,NA,NA,NA,0.199931954521207,0.0639249947599155,0.0678782110774518,0.752888611897001,0.148327867599812,"5 E 3",2,2,NA,NA,NA
2,NA,NA,NA,0.0172254407654714,0.00652861035638275,0.0824156565230149,0.588805757670839,0.159193202402415,"1 E 3",2,2,NA,NA,NA
3,0.150731056540852,0.93405837699224,0.70446883104191,0.215155350120944,0.0722183578154525,0.070975861535381,0.714560054909378,0.145274026712486,"2 E 1",2,2,NA,NA,NA
3,0.155729175890052,0.432382564529242,0.691624616845514,0.282087821115533,0.0908781006997587,0.166282630740496,0.60024391724497,0.209896511874846,"3 E 1",2,2,NA,NA,NA
2,NA,NA,NA,0.310694372638917,0.0993394787263548,0.0717808495899804,0.883900820252469,0.156585454205634,"2 N 1",2,2,NA,NA,NA
3,0.507990792275221,0.26057265214344,0.583346719071062,0.368978915611382,0.293057531187163,0.329495061320106,0.492269873478266,0.44467265858413,"3 N 1",2,2,NA,NA,NA
4,0.372996369433504,0.796608521060486,0.257343998505113,0.202483576838786,0.0912063113319143,0.11537062540049,0.563944222672811,0.186419606732078,"1 W 3",2,2,NA,NA,NA
4,1.2414859434823,0.112178287322951,0.810411258689859,0.422864239967075,0.426791021537227,0.32882513693163,0.544628931487346,0.457545447648394,"3 W 3",2,2,NA,NA,NA
2,NA,NA,NA,0.223014294797539,0.0713051981133248,0.0690424737811339,0.785757907519278,0.152301837487246,"3 N 3",2,2,NA,NA,NA
5,0.501455820698704,0.796066673321283,0.527633767263156,0.347600483224916,0.128500799019757,0.104175942602491,0.602516253042089,0.188510452313585,"1 W 1",2,2,NA,NA,NA
2,NA,NA,NA,0.15052197448467,0.157401969130365,0.360416666505303,0.607584817456073,0.423308503812359,"5 W 3",2,2,NA,NA,NA
6,1.65475973463527,0.279437244187988,0.558518193283077,0.82155479720458,0.796720603871383,0.295807367055106,0.620116631729135,0.402707987280746,"4 E 1",2,2,NA,NA,NA
3,0.150731056540852,0.587456037855366,0.899437150079707,0.272693869302693,0.0919156547752801,0.0719361362904978,0.728817536897082,0.147334548757731,"2 N 3",2,2,NA,NA,NA
5,1.99438020815528,0.230362508691518,0.830707372585821,0.473251392222356,0.591175856425061,0.447515865183401,0.436708467986914,0.467218703773894,"5 W 1",2,2,NA,NA,NA
2,NA,NA,NA,0.318030907451545,0.10168521655789,0.0722523078625938,0.902261793281192,0.158679840001192,"1 E 1",2,2,NA,NA,NA
2,NA,NA,NA,0.232054333204289,0.054893561943059,0.0256812881475239,0.576372628853002,0.109256870305009,"4 N 1",2,2,NA,NA,NA
3,0.1284594512652,0.849457904942354,0.399830012426602,0.137585832113643,0.0552881084028782,0.0912654904349029,0.593501742692946,0.160592614743458,"5 N 1",2,2,NA,NA,NA
2,NA,NA,NA,0.228787265391661,0.0731510116845577,0.0695238835171645,0.789284880639498,0.157449854778966,"4 N 3",2,2,NA,NA,NA
4,0.366256870912258,0.589671477212687,0.764532763386161,0.236960633414219,0.0876462872725218,0.131671783029555,0.518296291692706,0.185990773394902,"1 N 1",2,2,NA,NA,NA
9,5.05049058665229,0.478863682539132,0.934198009771339,1.00270161257907,1.51093492243685,0.624812827347976,0.464731591422383,0.491453193437032,"4 E 3",2,2,NA,NA,NA
3,0.13351888064766,0.469764214658195,0.493172088480722,0.366076967197179,0.283565506271542,0.204909134724569,0.730242774568993,0.324659772435878,"3 W 1",2,2,NA,NA,NA
3,0.150731056540852,0.699097087895714,0.853057324218954,0.307304461115941,0.0997998687621861,0.0701523067314106,0.710960647049717,0.150290032249041,"2 E 3",2,2,NA,NA,NA
2,NA,NA,NA,0.0399251308198298,0.0127654120351023,0.056008952040973,0.598350254795574,0.1311223695471,"2 W 3",2,2,NA,NA,NA
3,0.477560086749243,0.2040118879391,0.626404217293367,0.342763152818413,0.176594529416957,0.248169730561184,0.550322280668012,0.4330401648015,"3 E 3",2,2,NA,NA,NA
5,0.064270741036476,0.61651817690244,0.626584644625862,0.1718590633378,0.0355838700724555,0.023949423886426,0.557516930529814,0.0923953763508232,"5 E 1",2,3,NA,NA,NA
5,2.98745957635011,0.24326885161344,0.969466819141353,0.810674050010103,1.14183403742289,0.921244223538928,0.580462616187503,0.583788588676025,"4 W 1",2,3,NA,NA,NA
5,1.46247480607425,0.268187815996934,0.927134983900359,0.594032439723286,0.949315393075982,0.728737105178795,0.649087722082916,0.608572649873128,"2 W 1",2,3,NA,NA,NA
8,2.98260918320234,0.216293005876284,0.935598807266321,0.273296140586029,0.211860440003359,0.503815559252895,0.367871587661937,0.3718068914433,"5 N 3",2,3,NA,NA,NA
2,NA,NA,NA,0.192974986844251,0.0595536408911974,0.0521856734855229,0.751550321838159,0.144826200012708,"5 E 3",2,3,NA,NA,NA
2,NA,NA,NA,0.0161413070887361,0.00573267686866101,0.054020341009035,0.584312362063538,0.146184345986287,"1 E 3",2,3,NA,NA,NA
3,0.00575936515305403,0.215295932093567,0.955668334718484,0.193291969491504,0.0586101393724853,0.0279122231440217,0.743023140043041,0.11252898935145,"2 E 1",2,3,NA,NA,NA
3,0.000134754857667961,0.442494699649568,0.619329010492265,0.272353783585805,0.0847450198340735,0.0995897919565471,0.618214051212683,0.19914157362285,"3 E 1",2,3,NA,NA,NA
2,NA,NA,NA,0.299883240856418,0.0925463922931403,0.0552238971666089,0.878042143310176,0.151095465483578,"2 N 1",2,3,NA,NA,NA
3,0.715591274962056,0.253412718533105,0.608668909864294,0.36252975612724,0.271835647434204,0.516399507150035,0.576682614950805,0.526720641512296,"3 N 1",2,3,NA,NA,NA
4,0.44262040936216,0.51674725212586,0.476019545860792,0.166228509003885,0.0996960496084228,0.299533203972901,0.379903673211718,0.348528462770286,"1 W 3",2,3,NA,NA,NA
4,1.43492780930043,0.304400612016225,0.885645868876042,0.417598533261343,0.389908078576577,0.637216653364924,0.576416152985144,0.525703435721484,"3 W 3",2,3,NA,NA,NA
2,NA,NA,NA,0.215254138377715,0.0664291671523048,0.0528527865743701,0.77757018250601,0.149386257317012,"3 N 3",2,3,NA,NA,NA
5,0.619227061613755,0.49958113904876,0.591925678917701,0.299141217701145,0.111148475643902,0.270830542799606,0.453638743758129,0.30546378038241,"1 W 1",2,3,NA,NA,NA
2,NA,NA,NA,0.184295708026949,0.23596130561858,0.355413851876482,0.611364860750264,0.617902628466513,"5 W 3",2,3,NA,NA,NA
6,2.39999849588829,0.282632778460308,0.719975448934181,1.10450311061473,1.32678789809577,0.742582470333969,0.565095507817024,0.601773855478287,"4 E 1",2,3,NA,NA,NA
3,0.00575936515305403,0.981759936512885,0.966773317373408,0.248004723469774,0.0747999035960078,0.0290188087875565,0.79738834341736,0.114734419307514,"2 N 3",2,3,NA,NA,NA
5,1.36885231725167,0.135700924447294,0.923345675473792,0.362140043779756,0.406668233972395,0.606945976301313,0.495561424039209,0.451407716995086,"5 W 1",2,3,NA,NA,NA
2,NA,NA,NA,0.306964488635643,0.0947317226004608,0.0558002358910851,0.903165775736164,0.152121539851657,"1 E 1",2,3,NA,NA,NA
2,NA,NA,NA,0.0889636069747354,0.00806801715244652,0.00618025888134784,0.892982356113311,0.0443396072027166,"4 N 1",2,3,NA,NA,NA
3,0.0179321105906715,0.220283768291111,0.930570817488964,0.0890272503229487,0.0167231070842618,0.0148169572763551,0.556053521111593,0.0819354844100686,"5 N 1",2,3,NA,NA,NA
2,NA,NA,NA,0.220826228777775,0.0681487592928462,0.053052281984894,0.783985000330285,0.146246420304172,"4 N 3",2,3,NA,NA,NA
4,0.0936024954756989,0.409299044783466,0.636628819070475,0.199594283772823,0.0647114151482569,0.0585161086682884,0.637578228089498,0.171760575443391,"1 N 1",2,3,NA,NA,NA
9,4.28715664632354,0.425315315571827,0.976646506859693,1.00761382538496,1.50563396606461,0.929722677310866,0.430182381107365,0.602757258777733,"4 E 3",2,3,NA,NA,NA
3,0.636921966613561,0.324329504552954,0.617075583888405,0.451447428660808,0.455710739466967,0.479678476902837,0.644820708169585,0.505053064200812,"3 W 1",2,3,NA,NA,NA
3,0.00575936515305403,0.790608173028841,0.988945725210932,0.291839627389393,0.0896429853716598,0.0295490350574637,0.835096557957579,0.113919435185554,"2 E 3",2,3,NA,NA,NA
2,NA,NA,NA,0.0385358689318189,0.0118924806645953,0.0426851795314398,0.603530862675232,0.129410632391547,"2 W 3",2,3,NA,NA,NA
3,0.63943417006197,0.212643653610283,0.63357494283067,0.328995422865335,0.155035182064724,0.572113978037498,0.572380274566035,0.501733910507016,"3 E 3",2,3,NA,NA,NA
5,0.207182088179292,0.717982015658468,0.387578487206575,0.315211414219903,0.13161712543057,0.0433095823954489,0.65558626234186,0.137257270183065,"5 E 1",2,4,NA,NA,NA
5,1.53999530019437,0.737304195818686,0.947829973773619,0.677987158242497,0.887989230632573,0.252459690921185,0.552796740385058,0.38013315668469,"4 W 1",2,4,NA,NA,NA
5,5.49681837013984,0.483665247977155,0.9730490469779,0.703323479634955,1.21827062746391,0.912570907079701,0.400499817441758,0.554798344409788,"2 W 1",2,4,NA,NA,NA
8,3.31951689763657,0.315871148593423,0.894197660375561,0.467637692011484,0.348900126329051,0.354646637616948,0.432805314432736,0.319683363792923,"5 N 3",2,4,NA,NA,NA
2,NA,NA,NA,0.257302037698597,0.105874830738359,0.103426407187718,0.757506376893487,0.171871567363506,"5 E 3",2,4,NA,NA,NA
2,NA,NA,NA,0.0196101146988631,0.0084613630641451,0.00124543587578121,0.609171558750902,0.149273494713172,"1 E 3",2,4,NA,NA,NA
3,0.140583225840541,0.667276851887472,0.611855224009159,0.264430385109913,0.110928089370501,0.0677767369403482,0.784464640064944,0.147258568457879,"2 E 1",2,4,NA,NA,NA
3,0.347179841509413,0.475380014795102,0.800398046162415,0.362579053680576,0.149790538775408,0.167112438197419,0.616626502054314,0.215556873640312,"3 E 1",2,4,NA,NA,NA
2,NA,NA,NA,0.399847514985409,0.164529548031887,0.109996381823724,0.877000978945496,0.178598910307677,"2 N 1",2,4,NA,NA,NA
3,0.853405896755023,0.385367515044555,0.664166908976132,0.447067397768492,0.273866603279552,0.303097846627402,0.621985561172716,0.343576923022451,"3 N 1",2,4,NA,NA,NA
4,0.589025570918454,0.415365158805185,0.721613940609092,0.221296887748944,0.111257091075933,0.120977509682206,0.486664078421585,0.179821612603952,"1 W 3",2,4,NA,NA,NA
4,3.25253722840542,0.0872964220819188,0.888472274519586,0.55528592723432,0.759963536380545,0.916395871311085,0.380366473102042,0.524782523573694,"3 W 3",2,4,NA,NA,NA
2,NA,NA,NA,0.287007810355977,0.118098183806928,0.10540313696969,0.773198599619442,0.172742284786376,"3 N 3",2,4,NA,NA,NA
5,0.694427836362084,0.2650501950434,0.727820693189746,0.426217198516213,0.188792541964192,0.117848902207993,0.555031753448783,0.174980179249137,"1 W 1",2,4,NA,NA,NA
2,NA,NA,NA,0.147939311148172,0.152046886817668,0.164508518697078,0.607116576655463,0.387264161277883,"5 W 3",2,4,NA,NA,NA
6,2.7309615804747,0.287471538559717,0.81862166662564,1.0122106587823,1.11271093151573,0.387477961800728,0.545697022508188,0.394539050659219,"4 E 1",2,4,NA,NA,NA
3,0.140583225840541,0.842498842984831,0.869619489238355,0.349806655492693,0.148344319162669,0.0692853733526256,0.790940022262961,0.150271989552506,"2 N 3",2,4,NA,NA,NA
5,2.72289494807439,0.333194311228217,0.654508027470019,0.465343349289867,0.83022538797554,0.745128286217732,0.375451901384557,0.466719699185499,"5 W 1",2,4,NA,NA,NA
2,NA,NA,NA,0.409289254108385,0.168414641754665,0.110902709833501,0.900991972529707,0.182181387980455,"1 E 1",2,4,NA,NA,NA
2,NA,NA,NA,0.170638182170779,0.0296820900962846,0.0115770157479484,0.579049227659201,0.0665094185887003,"4 N 1",2,4,NA,NA,NA
3,0.10540226544363,0.690361864002891,0.47125144675171,0.134896025087822,0.0496894118231556,0.0351589973286875,0.661472189989627,0.111645076661218,"5 N 1",2,4,NA,NA,NA
2,NA,NA,NA,0.294437323567103,0.121155285339166,0.105599626309797,0.778226583040587,0.176096731382712,"4 N 3",2,4,NA,NA,NA
4,0.330586237303813,0.64441159265863,0.536925407071942,0.274460932753479,0.131602902053652,0.134474738395261,0.599336066223306,0.195240700866558,"1 N 1",2,4,NA,NA,NA
9,6.68148746271118,0.579235662409672,0.893224271190093,1.02267516382571,1.81961552528695,0.658398108013976,0.388350732684992,0.496805247897588,"4 E 3",2,4,NA,NA,NA
3,0.792662642678076,0.462845802515063,0.690728895445735,0.50874657792597,0.399775048471913,0.29256472622545,0.675631544329911,0.328084432849426,"3 W 1",2,4,NA,NA,NA
3,0.140583225840541,0.969347332380735,0.812351749287507,0.394666525099301,0.163745902363248,0.0705818443038184,0.81231571700048,0.149886294158546,"2 E 3",2,4,NA,NA,NA
2,NA,NA,NA,0.0513815689939426,0.0211425256051699,0.0856157646690982,0.600544830769333,0.155153680720005,"2 W 3",2,4,NA,NA,NA
3,0.697700601698956,0.351470943042699,0.676708230498693,0.424884493325734,0.203377844443273,0.385593012701993,0.605986389805843,0.348869109912733,"3 E 3",2,4,NA,NA,NA
5,0.334454765906141,0.728113934479261,0.526442575971213,0.291914828743711,0.0957612003993218,0.0558441085941252,0.67345518897854,0.120792913613947,"5 E 1",2,5,NA,NA,NA
5,1.79277094449212,0.729255799854649,0.962393287391981,0.653509910020703,0.817406415707748,0.469210774899048,0.662834080910509,0.402077514311453,"4 W 1",2,5,NA,NA,NA
5,3.23545803401316,0.438913128033257,0.94103460920758,0.522061188470839,0.711724860406325,0.478316190526875,0.550155998081208,0.453744336863226,"2 W 1",2,5,NA,NA,NA
8,5.46140939190236,0.22735815090647,0.922206722292443,0.342148068554909,0.24237480427678,0.408261104120454,0.247691417632771,0.344990694633974,"5 N 3",2,5,NA,NA,NA
2,NA,NA,NA,0.218648691045933,0.0764539699169601,0.0263431827734393,0.569051397671188,0.148124343640501,"5 E 3",2,5,NA,NA,NA
2,NA,NA,NA,0.0341879665056054,0.0257173729073382,0.174917564082106,0.573832807625425,0.236356779351962,"1 E 3",2,5,NA,NA,NA
3,0.244221317765671,0.899298035193101,0.544478455807867,0.241166545801488,0.0994897231902329,0.0947334638099356,0.579665402354436,0.162131460639681,"2 E 1",2,5,NA,NA,NA
3,0.525853290979797,0.263860536238922,0.734638215663129,0.308585290087532,0.109503631012584,0.228522729774516,0.558467054158102,0.244239661181915,"3 E 1",2,5,NA,NA,NA
2,NA,NA,NA,0.339780191993426,0.118809513346627,0.0279128935334201,0.573052564638777,0.152549895146757,"2 N 1",2,5,NA,NA,NA
3,0.38959728773753,0.434827069176345,0.559775939949056,0.372755790264381,0.191802571221805,0.24194738784654,0.586464218709415,0.30868348070605,"3 N 1",2,5,NA,NA,NA
4,0.395460936716931,0.787297844151212,0.873617407246675,0.338620497076525,0.155620589655187,0.0952864061534441,0.500572212458718,0.161923615622895,"1 W 3",2,5,NA,NA,NA
4,2.33797578040422,0.0937921927776441,0.768659553782179,0.431417933921536,0.343406006280429,0.452550699382792,0.532060104900603,0.397187213874094,"3 W 3",2,5,NA,NA,NA
2,NA,NA,NA,0.243891896914565,0.0852806557427745,0.0268006443862387,0.570368758188423,0.148660976623393,"3 N 3",2,5,NA,NA,NA
5,0.639682254482602,0.708838967587523,0.963986443735831,0.399593261804464,0.17873715409506,0.0967043805264374,0.517219357204192,0.167647177083856,"1 W 1",2,5,NA,NA,NA
2,NA,NA,NA,0.138310926294821,0.132899494111136,0.499063680770141,0.611047366380712,0.394376556443137,"5 W 3",2,5,NA,NA,NA
6,2.73971880158769,0.351707651534331,0.835173765667645,0.810171057580333,0.827812063480119,0.473961820369786,0.639863952919493,0.382976384448701,"4 E 1",2,5,NA,NA,NA
3,0.244221317765671,0.458867972430816,0.832383052242601,0.312915237199766,0.127366545959986,0.0977790639199694,0.547270592016095,0.16320477492296,"2 N 3",2,5,NA,NA,NA
5,2.06508135926857,0.117386018885763,0.78968311622602,0.477672395010449,0.490486655664922,0.420897705792044,0.456561817495022,0.37166736513128,"5 W 1",2,5,NA,NA,NA
2,NA,NA,NA,0.347803540424324,0.121615003910667,0.0281204456780724,0.581127864862719,0.155098065035447,"1 E 1",2,5,NA,NA,NA
2,NA,NA,NA,0.354470298505607,0.128086025347337,0.0174723509244397,0.889186752181335,0.119978484466516,"4 N 1",2,5,NA,NA,NA
3,0.0986905709628487,0.325501404029964,0.936079902219057,0.159953279579782,0.0503498894472416,0.0352385674768441,0.654580512547104,0.100380082505708,"5 N 1",2,5,NA,NA,NA
2,NA,NA,NA,0.250205307228961,0.0874882394238896,0.0268257509570585,0.577326018045863,0.150725655804667,"4 N 3",2,5,NA,NA,NA
4,0.480837878895172,0.218179793953564,0.713243703498655,0.225459447438001,0.082417513641396,0.119926423720471,0.545008438918719,0.187760157868693,"1 N 1",2,5,NA,NA,NA
9,5.59842457551701,0.502047032220053,0.962093720103762,0.932108725263836,1.39283619934898,0.641812773686316,0.582299797987726,0.447541833980576,"4 E 3",2,5,NA,NA,NA
3,0.495987278823471,0.485701775012096,0.62161365005542,0.418529709642375,0.291314131098455,0.33898757276534,0.668704893301013,0.325734135115787,"3 W 1",2,5,NA,NA,NA
3,0.244221317765671,0.555685329659899,0.758589880360022,0.34011135169252,0.124672137075097,0.0957265080147585,0.552500475721754,0.165367438113285,"2 E 3",2,5,NA,NA,NA
2,NA,NA,NA,0.0436627432293093,0.0152673681300213,0.0219098191510139,0.485347023918225,0.131598838277126,"2 W 3",2,5,NA,NA,NA
3,0.354153392210234,0.329275590437162,0.604952321190941,0.363493347147721,0.155061567730038,0.208574751629491,0.558342637953264,0.329128396631295,"3 E 3",2,5,NA,NA,NA
5,0.657261292697977,0.679605880346292,0.45383291112841,0.471755821683927,0.365314753973714,0.205503787248304,0.7128398432015,0.248316754660098,"5 E 1",2,6,NA,NA,NA
5,0.56935471319358,0.59621826140158,0.937709289382732,0.641323081534929,0.759612644154671,0.148926041826083,0.367536141577637,0.366190241491589,"4 W 1",2,6,NA,NA,NA
5,4.38283409038679,0.506326860916375,0.855734646573454,0.610722326860966,0.766767820368572,0.909755534088421,0.429927476703362,0.50745259771712,"2 W 1",2,6,NA,NA,NA
8,5.71053749032051,0.294200354095674,0.713106312255433,0.700767177839361,0.705946748237041,0.664336298758209,0.456624787284391,0.425007729661307,"5 N 3",2,6,NA,NA,NA
2,NA,NA,NA,0.588603781822498,0.554054356557783,0.0170765860584197,0.788534671665484,0.347079710534289,"5 E 3",2,6,NA,NA,NA
2,NA,NA,NA,0.0458181113880909,0.0461906879001075,0.493144427687505,0.589088929568589,0.364324371439477,"1 E 3",2,6,NA,NA,NA
3,0.464529877004637,0.777894593823615,0.375913636105856,0.603032083367475,0.619328395484402,0.263617975381283,0.595747170662901,0.373077829885583,"2 E 1",2,6,NA,NA,NA
3,1.20048056443926,0.982691441982027,0.820695087903728,0.827750532009705,0.779663491265624,0.488589574769968,0.55109576499925,0.370842513451025,"3 E 1",2,6,NA,NA,NA
2,NA,NA,NA,0.914690616435888,0.861000789647759,0.0181000407198579,0.885221896941074,0.362132343990946,"2 N 1",2,6,NA,NA,NA
3,1.74794430543243,0.582769986889904,0.942020303773142,0.945113105949792,0.931258384226703,0.750247591533866,0.565334961086526,0.444133585619904,"3 N 1",2,6,NA,NA,NA
4,1.40925199335463,0.599563634324162,0.870552157658413,0.709761370945879,0.805707206340324,0.47081491288259,0.575775593658348,0.389974650287796,"1 W 3",2,6,NA,NA,NA
4,4.41701356623707,0.792767662275564,0.831786079004348,0.998153971509699,1.07676200658016,0.984520773498682,0.510138523716271,0.517218608475919,"3 W 3",2,6,NA,NA,NA
2,NA,NA,NA,0.656558665835407,0.618020475531998,0.0172693066351112,0.805998759614743,0.358447144156954,"3 N 3",2,6,NA,NA,NA
5,1.75804717854431,0.490914385242091,0.69170102806577,0.985781869134809,1.07840569834655,0.391749955812351,0.502231655459369,0.362422515070378,"1 W 1",2,6,NA,NA,NA
2,NA,NA,NA,0.138920954706527,0.134074401356859,0.190263594905242,0.490387770219003,0.387690373864929,"5 W 3",2,6,NA,NA,NA
6,3.56618771034143,0.744914129193504,0.626591076353106,0.99523929089009,1.02478203888602,0.533514035713376,0.625087672836706,0.427251794110759,"4 E 1",2,6,NA,NA,NA
3,0.464529877004637,0.72816807234174,0.77557022272446,0.833236852681818,0.862166428786579,0.271040358603235,0.598084717346205,0.39368577796151,"2 N 3",2,6,NA,NA,NA
5,3.0914449008543,0.7400804210573,0.527232804632829,0.582663380661309,0.654275488263747,0.764394636743713,0.440629664846123,0.465288020648886,"5 W 1",2,6,NA,NA,NA
2,NA,NA,NA,0.936289525657412,0.881331902224079,0.0181593402620933,0.897319960026,0.358775127947384,"1 E 1",2,6,NA,NA,NA
2,NA,NA,NA,0.496251700778769,0.251041813566321,0.154575952191182,0.889646611678387,0.212744388785683,"4 N 1",2,6,NA,NA,NA
3,0.242510544041773,0.86324603353158,0.302831516076418,0.186996470131121,0.131994314312245,0.13691424473729,0.604758577990034,0.218442966401789,"5 N 1",2,6,NA,NA,NA
2,NA,NA,NA,0.673554409873359,0.634018616077429,0.017342502878043,0.81541926270438,0.350378388707632,"4 N 3",2,6,NA,NA,NA
4,1.68739404705253,0.681946027193925,0.496792920665843,0.652399498686013,0.588488321712862,0.477742251399176,0.560268128050866,0.357269008942635,"1 N 1",2,6,NA,NA,NA
9,7.43928034099955,0.493461528880655,0.873499398139391,0.900971252080885,1.2426724903426,0.804058989769636,0.351998962525386,0.479991072354678,"4 E 3",2,6,NA,NA,NA
3,1.81692626843625,0.610970604145904,0.836808553951932,0.999444150556495,1.11381721060091,0.853973040680388,0.622151027300594,0.479160509682667,"3 W 1",2,6,NA,NA,NA
3,0.464529877004637,0.850450223197752,0.676588432134998,0.911559437529976,0.881442805152015,0.257320989812176,0.574857031777699,0.394798173200204,"2 E 3",2,6,NA,NA,NA
2,NA,NA,NA,0.117540405417369,0.110641106469649,0.0141073774587368,0.617441573084713,0.315616521225224,"2 W 3",2,6,NA,NA,NA
3,2.53284159640277,0.531441859506276,0.664654631156537,0.956275201811391,0.960113459774033,1.2190567796112,0.569271243667584,0.568973705650242,"3 E 3",2,6,NA,NA,NA
