"SR","FRic","FEve","FDiv","FDis","RaoQ","sev.blackplots","n_trait","traits","mean_cor","min_cor","max_cor"
2,NA,NA,NA,0.0957372767134787,0.026365801187655,"5 E 3",2,2,NA,NA,NA
6,0.189120440773096,0.348458740435007,0.95865807049208,0.223517732763042,0.0570842971143369,"5 N 1",2,2,NA,NA,NA
3,0.067825848942941,0.299359192950995,0.978995790101485,0.111895445257994,0.0346041115188103,"5 N 3",2,2,NA,NA,NA
2,NA,NA,NA,0.00931953874805623,0.00090599782912048,"4 NW 3",2,2,NA,NA,NA
3,0.0260883922678979,0.5834084688117,0.61363783440275,0.0899836078337838,0.0129061984623674,"1 N 1",2,2,NA,NA,NA
3,0.132752019620725,0.971920586240373,0.599165523829427,0.0843867981569168,0.0157233067713757,"4 E 3",2,2,NA,NA,NA
1,NA,NA,NA,0,0,"5 W 1",2,2,NA,NA,NA
3,0.118320459059036,0.385811090853674,0.997600390029391,0.189853877115736,0.0622630343418866,"4 W 1",2,2,NA,NA,NA
3,0.0579054412339311,0.338176699824481,0.936585736328496,0.142427889284047,0.034083166505239,"5 S 1",2,2,NA,NA,NA
2,NA,NA,NA,0.160003268353727,0.0527134140142558,"5 NE 1",2,2,NA,NA,NA
4,0.201089202527024,0.684957928315467,0.931857369414648,0.202331306703984,0.0564274954915884,"5 W 3",2,3,NA,NA,NA
5,0.134202809250775,0.372498299371084,0.831970522480383,0.137835008757247,0.0279757207190541,"1 E 1",2,3,NA,NA,NA
2,NA,NA,NA,0.0814086513021113,0.0133698735004287,"1 NE 1",2,3,NA,NA,NA
3,0.00327529712121105,0.651377043743228,0.86893360324568,0.254504361743526,0.0659575062570484,"1 S 1",2,3,NA,NA,NA
5,0.269421125313217,0.373927270970784,0.991915854506748,0.0326626455878357,0.00914800036322516,"1 W 1",2,3,NA,NA,NA
6,0.239409288381109,0.38342846817699,0.937207710163977,0.0585146654380599,0.0143207113625817,"1 W 3",2,3,NA,NA,NA
4,0.115519299361621,0.0348486032369545,0.697608730973498,0.0867355031512609,0.0083442739296254,"1 E 3",2,3,NA,NA,NA
5,0.199828898209462,0.676389150850689,0.616055608726847,0.0929455423929873,0.0204078748970355,"1 S 3",2,3,NA,NA,NA
7,0.155560976165172,0.297409676257014,0.729100179236834,0.136278261317088,0.0373408101100046,"4 NE 1",2,3,NA,NA,NA
3,0.131998749913137,0.023889231679552,0.990410068151515,0.00991857003120584,0.00186152255644865,"4 S 3",2,3,NA,NA,NA
4,0.00689089175857218,0.632590269774647,0.947635182331468,0.155909390647123,0.0255763991581807,"4 NE 3",2,3,NA,NA,NA
5,0.174653265481934,0.282144749349964,0.942232494181689,0.170229505582807,0.0356117507279079,"4 NW 1",2,3,NA,NA,NA
2,NA,NA,NA,0.0272410008852807,0.00770369499982636,"5 S 3",2,3,NA,NA,NA
7,0.178654602548956,0.487833603820471,0.797078373723987,0.0866189985318309,0.0114690171404308,"4 S 1",2,3,NA,NA,NA
5,0.243753021321671,0.463331485843194,0.920623924295212,0.15788839057363,0.0392769712033344,"1 NE 3",2,3,NA,NA,NA
3,0.0218123068519801,0.803754210477512,0.744484570426551,0.180286842226772,0.035794106834587,"4 W 3",2,3,NA,NA,NA
1,NA,NA,NA,0,0,"4 E 1",2,3,NA,NA,NA
4,0.168253204579669,0.917196303641006,0.863784518998027,0.211922406898242,0.0586688587759848,"5 E 1",2,3,NA,NA,NA
4,0.0774954540345359,0.399170255548325,0.986448928236015,0.0384811594121934,0.00975017164641533,"5 NE 3",2,3,NA,NA,NA
2,NA,NA,NA,0.072167879743036,0.0149818942035114,"5 E 3",2,3,NA,NA,NA
6,0.14436800044425,0.39614715922334,0.877399823636897,0.125744829041918,0.0222960442190004,"5 N 1",2,3,NA,NA,NA
3,0.173867062056372,0.159741643298737,0.965979617405021,0.0838746597241643,0.0236400618448501,"5 N 3",2,3,NA,NA,NA
2,NA,NA,NA,0.0271105107417177,0.00766679267488146,"4 NW 3",2,3,NA,NA,NA
3,0.00439546145151251,0.720923348882765,0.51345033799288,0.0647821840037033,0.00564684533025545,"1 N 1",2,3,NA,NA,NA
3,0.143486008385778,0.244126686723259,0.929450890229265,0.0825396662515428,0.014869258195729,"4 E 3",2,3,NA,NA,NA
1,NA,NA,NA,0,0,"5 W 1",2,3,NA,NA,NA
3,0.168549106953954,0.257919501873264,0.919378938515545,0.0984024496312585,0.0174694922754309,"4 W 1",2,3,NA,NA,NA
3,0.129970245925667,0.866819916347826,0.671143322992571,0.0928089891566403,0.0219006224906067,"5 S 1",2,3,NA,NA,NA
2,NA,NA,NA,0.0797614980018868,0.0130993588695193,"5 NE 1",2,3,NA,NA,NA
4,0.105432128986446,0.741066052344327,0.854544079098463,0.167019547642539,0.0363817740640433,"5 W 3",2,4,NA,NA,NA
5,0.100318344515531,0.308625892116405,0.891125050203394,0.175975802360519,0.0366446245364042,"1 E 1",2,4,NA,NA,NA
2,NA,NA,NA,0.0815963262008009,0.0134315888558962,"1 NE 1",2,4,NA,NA,NA
3,0.00634684000586777,0.84151054750359,0.621949809552495,0.100713875603404,0.0104027805932047,"1 S 1",2,4,NA,NA,NA
5,0.144168101200292,0.546941166317097,0.985943235268509,0.024991873874472,0.00510512093545667,"1 W 1",2,4,NA,NA,NA
6,0.212785714889913,0.544571334042765,0.975846907404993,0.0748724877722209,0.0176095193117233,"1 W 3",2,4,NA,NA,NA
4,0.111411615798232,0.106553837435684,0.70452217480682,0.125857562299028,0.0186816348890998,"1 E 3",2,4,NA,NA,NA
5,0.119609537440541,0.847309608623402,0.564747011883295,0.118949476691299,0.0148604862641373,"1 S 3",2,4,NA,NA,NA
7,0.125937761300356,0.349315368582699,0.627684399199233,0.13226427708272,0.0194574313384835,"4 NE 1",2,4,NA,NA,NA
3,0.0744063948276009,0.0369028701217582,0.988503940623488,0.0125380515229373,0.00258885315453747,"4 S 3",2,4,NA,NA,NA
4,0.0702339691589244,0.869869123143517,0.88491375023776,0.16161882974506,0.0272554270688105,"4 NE 3",2,4,NA,NA,NA
5,0.150319640122853,0.433182697519244,0.904637288026193,0.184019707554956,0.035781974231194,"4 NW 1",2,4,NA,NA,NA
2,NA,NA,NA,0.0173280613452538,0.00311711563166266,"5 S 3",2,4,NA,NA,NA
7,0.210110266388638,0.459402729267279,0.727028539916458,0.122350825709303,0.0217334161703856,"4 S 1",2,4,NA,NA,NA
5,0.167207914757399,0.59251011772951,0.950772287254156,0.153180558426558,0.0296256274939908,"1 NE 3",2,4,NA,NA,NA
3,0.0188784752058017,0.853391612181496,0.925596423582697,0.132910819955989,0.0183773894614385,"4 W 3",2,4,NA,NA,NA
1,NA,NA,NA,0,0,"4 E 1",2,4,NA,NA,NA
4,0.11363889021062,0.752025519330921,0.953676344823194,0.184347564342132,0.0353622343454173,"5 E 1",2,4,NA,NA,NA
4,0.0916807061266082,0.296119223780157,0.98931026558563,0.0210830297908661,0.00313920506331343,"5 NE 3",2,4,NA,NA,NA
2,NA,NA,NA,0.102430578850026,0.0301813101058758,"5 E 3",2,4,NA,NA,NA
6,0.139838724661127,0.454411271896763,0.912387782465291,0.192408241349605,0.0456095873915385,"5 N 1",2,4,NA,NA,NA
3,0.118048864728526,0.216393776707611,0.96348596268145,0.0745759437374182,0.0164088074435202,"5 N 3",2,4,NA,NA,NA
2,NA,NA,NA,0.0172450562742533,0.00310218398990724,"4 NW 3",2,4,NA,NA,NA
3,0.0863929367080351,0.447257114656484,0.785731054688482,0.154856622358389,0.0291178387706024,"1 N 1",2,4,NA,NA,NA
3,0.158909494673208,0.272493330870214,0.939571046362983,0.105804148323661,0.0242243499573265,"4 E 3",2,4,NA,NA,NA
1,NA,NA,NA,0,0,"5 W 1",2,4,NA,NA,NA
3,0.130415059774496,0.307042982008497,0.908928301026659,0.0980360994642687,0.0169327620188512,"4 W 1",2,4,NA,NA,NA
3,0.104874724165549,0.967650959330901,0.907000467113332,0.117847601757933,0.0226595483588327,"5 S 1",2,4,NA,NA,NA
2,NA,NA,NA,0.0799453756465524,0.0131598255290583,"5 NE 1",2,4,NA,NA,NA
4,0.0261026274440725,0.646009708490286,0.854801165847196,0.110934827368845,0.0165679518260396,"5 W 3",2,5,NA,NA,NA
5,0.0608553018526445,0.292884467162391,0.923241610719961,0.12677816867793,0.0182136144390467,"1 E 1",2,5,NA,NA,NA
2,NA,NA,NA,0.123957854755317,0.0309980433839522,"1 NE 1",2,5,NA,NA,NA
3,0.00574919943158047,0.910029147040142,0.902331925654939,0.0928900048928086,0.0088046197015103,"1 S 1",2,5,NA,NA,NA
5,0.0789987275510355,0.605795196412061,0.990610064708303,0.0148628978576655,0.00192830242860073,"1 W 1",2,5,NA,NA,NA
6,0.134383593209246,0.740082539545536,0.538938930783231,0.0608875958996329,0.0130470999305977,"1 W 3",2,5,NA,NA,NA
4,0.0479134636632881,0.83097733604452,0.813378349246515,0.0988452149979066,0.01009263123693,"1 E 3",2,5,NA,NA,NA
5,0.123472311339891,0.592249291357125,0.592112701068357,0.0700631002102228,0.00637652739604859,"1 S 3",2,5,NA,NA,NA
7,0.041690172699158,0.434047778296961,0.615602850261242,0.0791738166265564,0.00728746816758497,"4 NE 1",2,5,NA,NA,NA
3,0.01953780382041,0.0569672185460319,0.992756085680865,0.00906111510664804,0.0013091051342177,"4 S 3",2,5,NA,NA,NA
4,0.0904784383189008,0.550292067439916,0.816683484649284,0.239976965714658,0.0599834550846737,"4 NE 3",2,5,NA,NA,NA
5,0.122175343928884,0.785125409520543,0.888093313217681,0.214078804617073,0.05048308543701,"4 NW 1",2,5,NA,NA,NA
2,NA,NA,NA,0.0104689807457614,0.0011377890808346,"5 S 3",2,5,NA,NA,NA
7,0.119964370386838,0.480233987233837,0.879719356587699,0.174874584895315,0.0365524895432049,"4 S 1",2,5,NA,NA,NA
5,0.155362696527264,0.591773431933002,0.817910141625831,0.183599952725326,0.0461859944954696,"1 NE 3",2,5,NA,NA,NA
3,0.0120066063654724,0.649716166085982,0.952748156369107,0.125482953248189,0.0169194263412053,"4 W 3",2,5,NA,NA,NA
1,NA,NA,NA,0,0,"4 E 1",2,5,NA,NA,NA
4,0.131995137334283,0.748230411938067,0.900400901136245,0.23233978438095,0.0579279524687835,"5 E 1",2,5,NA,NA,NA
4,0.0310754020347137,0.421551841546499,0.98182143398519,0.0135485013802904,0.00127832394381428,"5 NE 3",2,5,NA,NA,NA
2,NA,NA,NA,0.108125621315663,0.0336307122969835,"5 E 3",2,5,NA,NA,NA
6,0.0497928835387919,0.462306236935156,0.85448237968297,0.125871886021832,0.0182190384524036,"5 N 1",2,5,NA,NA,NA
3,0.0562826499168227,0.238888646354289,0.980196710710367,0.0824095603994013,0.0191909800333428,"5 N 3",2,5,NA,NA,NA
2,NA,NA,NA,0.0104188321184688,0.00113233883100245,"4 NW 3",2,5,NA,NA,NA
3,0.0137130586359544,0.677637445661016,0.497883112292965,0.0702066365552109,0.00709466306188052,"1 N 1",2,5,NA,NA,NA
3,0.0561388877486553,0.13395805947457,0.853330729391903,0.035056010073286,0.00323921300271968,"4 E 3",2,5,NA,NA,NA
1,NA,NA,NA,0,0,"5 W 1",2,5,NA,NA,NA
3,0.0581107383711923,0.406084047497143,0.997196831756069,0.144435182934773,0.0359942680450272,"4 W 1",2,5,NA,NA,NA
3,0.054618555381389,0.969562811815286,0.699749437839225,0.0882091877119399,0.0161132704133722,"5 S 1",2,5,NA,NA,NA
2,NA,NA,NA,0.121449797119141,0.0303708553806661,"5 NE 1",2,5,NA,NA,NA
4,0.0821975296542566,0.611166108547778,0.895862407251731,0.153991093541625,0.0365085211675676,"5 W 3",2,6,NA,NA,NA
5,0.0569793316481441,0.411976750127697,0.993085726544415,0.26700545085806,0.0815033083448866,"1 E 1",2,6,NA,NA,NA
2,NA,NA,NA,0.125586443715855,0.0318179139906681,"1 NE 1",2,6,NA,NA,NA
3,0.00814440289021429,0.8980356286227,0.672498118341948,0.0948144079378101,0.00919427484737094,"1 S 1",2,6,NA,NA,NA
5,0.0779532846260039,0.553446428000742,0.987010300954339,0.0248462497890419,0.00561706228831704,"1 W 1",2,6,NA,NA,NA
6,0.191237466423925,0.743414942519321,0.971279389058178,0.0864075733218301,0.0203863463607398,"1 W 3",2,6,NA,NA,NA
4,0.0209518987397559,0.901534464357205,0.534664361718202,0.196862026862618,0.0395434297178157,"1 E 3",2,6,NA,NA,NA
5,0.127431274091475,0.50219735496316,0.721048885502159,0.0894046131462113,0.0102885545788954,"1 S 3",2,6,NA,NA,NA
7,0.156082389132828,0.34065739607442,0.737073490186227,0.0961037654853213,0.0121854512578492,"4 NE 1",2,6,NA,NA,NA
3,0.0173153492927611,0.0598293540376891,0.994214327565925,0.0192948824728248,0.0059173989292137,"4 S 3",2,6,NA,NA,NA
4,0.121760267166864,0.765299511299892,0.918619927375124,0.23910506047599,0.0600780999737922,"4 NE 3",2,6,NA,NA,NA
5,0.0835095088900074,0.823110123601625,0.881235237546419,0.263806487282398,0.0732657576573582,"4 NW 1",2,6,NA,NA,NA
2,NA,NA,NA,0.0115340569205483,0.00138107460666735,"5 S 3",2,6,NA,NA,NA
7,0.117360599542935,0.392383563096238,0.808880980736131,0.142802303362144,0.0307191236999303,"4 S 1",2,6,NA,NA,NA
5,0.0877793771377852,0.669156277568798,0.954635950930823,0.205976632708465,0.0546019224671005,"1 NE 3",2,6,NA,NA,NA
3,0.0162849072780935,0.51972617391419,0.714612276613931,0.0803288150006905,0.00911571199213931,"4 W 3",2,6,NA,NA,NA
1,NA,NA,NA,0,0,"4 E 1",2,6,NA,NA,NA
4,0.0234712054226708,0.70281629767785,0.860208713595286,0.20939039248016,0.051749848759041,"5 E 1",2,6,NA,NA,NA
4,0.0363787419388914,0.524420319229475,0.988542020826611,0.0193850643982677,0.00255349972234606,"5 NE 3",2,6,NA,NA,NA
2,NA,NA,NA,0.103427282549038,0.03077152798393,"5 E 3",2,6,NA,NA,NA
6,0.0757372393060678,0.434029598800421,0.94498568760648,0.260402257440938,0.0768522474829294,"5 N 1",2,6,NA,NA,NA
3,0.0259504242596454,0.509372093905899,0.971768122538561,0.0914579962612086,0.0226699670947865,"5 N 3",2,6,NA,NA,NA
2,NA,NA,NA,0.01147880635359,0.00137445896782008,"4 NW 3",2,6,NA,NA,NA
3,0.0556750860360603,0.576129039107004,0.648442590658964,0.0921053311804184,0.0137690566298368,"1 N 1",2,6,NA,NA,NA
3,0.0136170830534461,0.132829389375146,0.671460675315024,0.0349169898936793,0.003234367399111,"4 E 3",2,6,NA,NA,NA
1,NA,NA,NA,0,0,"5 W 1",2,6,NA,NA,NA
3,0.0261381687837917,0.579967725902549,0.909651838962386,0.148124216993795,0.0377393378941185,"4 W 1",2,6,NA,NA,NA
3,0.00992873015184525,0.245901472199419,0.861528511040983,0.160345880947981,0.0482809316815621,"5 S 1",2,6,NA,NA,NA
2,NA,NA,NA,0.123045434598011,0.0311741374239553,"5 NE 1",2,6,NA,NA,NA
4,0.134674466707934,0.482353873764201,0.971160095931879,0.145245337525709,0.0308372720793675,"5 W 3",2,7,NA,NA,NA
5,0.0499308198879553,0.235929647638236,0.99072455667111,0.180954557381796,0.0372551454072922,"1 E 1",2,7,NA,NA,NA
2,NA,NA,NA,0.124923159552907,0.031482709224133,"1 NE 1",2,7,NA,NA,NA
3,0.00425409775832704,0.828294851779338,0.725348833875048,0.117710466153874,0.014222396115455,"1 S 1",2,7,NA,NA,NA
5,0.178500421809827,0.375376799983127,0.86585791612149,0.0212257888509341,0.00467334309190699,"1 W 1",2,7,NA,NA,NA
6,0.227205019637887,0.354470405390787,0.693933269299256,0.0715255118929704,0.0159816252857928,"1 W 3",2,7,NA,NA,NA
4,0.016149344764097,0.076516513200754,0.52571626404036,0.100534360293488,0.0105328282286182,"1 E 3",2,7,NA,NA,NA
5,0.107382640857943,0.365609816111165,0.552724539496539,0.0902074037227295,0.0123271498857561,"1 S 3",2,7,NA,NA,NA
7,0.113774034687085,0.538799635992088,0.497138310564439,0.0960937361852137,0.0134435015304767,"4 NE 1",2,7,NA,NA,NA
3,0.00750649491944756,0.070294862229602,0.992400409951455,0.0129722502518258,0.00267452503338146,"4 S 3",2,7,NA,NA,NA
4,0.0553300134794011,0.704560866947021,0.790866823744028,0.239947634665555,0.0608127761936645,"4 NE 3",2,7,NA,NA,NA
5,0.195812194861357,0.834169359513977,0.993165916735858,0.244973116626689,0.0621779678062594,"4 NW 1",2,7,NA,NA,NA
2,NA,NA,NA,0.0158470149357274,0.00260704119659866,"5 S 3",2,7,NA,NA,NA
7,0.212496341520465,0.468091746238742,0.888802861237777,0.195380935285711,0.0438000699673819,"4 S 1",2,7,NA,NA,NA
5,0.252917408958141,0.626890487277009,0.911796539850009,0.202195716898114,0.0502418766722519,"1 NE 3",2,7,NA,NA,NA
3,0.0204591785772629,0.946163562018258,0.825957192590538,0.137618958427592,0.0206086116000401,"4 W 3",2,7,NA,NA,NA
1,NA,NA,NA,0,0,"4 E 1",2,7,NA,NA,NA
4,0.213761016222663,0.956456287569421,0.953854049573058,0.241684727743748,0.0596564882997516,"5 E 1",2,7,NA,NA,NA
4,0.0729897073225915,0.398369391358356,0.993924940869432,0.0240790195393511,0.00398373283210225,"5 NE 3",2,7,NA,NA,NA
2,NA,NA,NA,0.0697199933503427,0.0139827794535904,"5 E 3",2,7,NA,NA,NA
6,0.172468893241032,0.154945403489937,0.857725711088502,0.170945796451316,0.0340908936615452,"5 N 1",2,7,NA,NA,NA
3,0.00399958093114177,0.684608852941312,0.96376272682266,0.0943024343431309,0.0240665270994984,"5 N 3",2,7,NA,NA,NA
2,NA,NA,NA,0.0157711043896092,0.00259455291904045,"4 NW 3",2,7,NA,NA,NA
3,0.00295320814183709,0.699964728032524,0.495388307383642,0.0841613415573587,0.0098210240520754,"1 N 1",2,7,NA,NA,NA
3,0.117676489191438,0.868965036313631,0.688556772189447,0.0814913121225256,0.0145289981890493,"4 E 3",2,7,NA,NA,NA
1,NA,NA,NA,0,0,"5 W 1",2,7,NA,NA,NA
3,0.155480801018136,0.387391164980333,0.994748141786964,0.146250663533477,0.0369940141579189,"4 W 1",2,7,NA,NA,NA
3,0.119111490451244,0.964506651013782,0.556873822158269,0.114648799720652,0.029843120253456,"5 S 1",2,7,NA,NA,NA
2,NA,NA,NA,0.122395570761779,0.0308457149051128,"5 NE 1",2,7,NA,NA,NA
4,0.243484182633088,0.352672771548721,0.957517605624914,0.239429322108325,0.0804556315736877,"5 W 3",2,8,NA,NA,NA
5,0.159916868406974,0.401282464078821,0.892032564113299,0.133433902646774,0.0296744765727608,"1 E 1",2,8,NA,NA,NA
2,NA,NA,NA,0.0750010653152646,0.0113480448306354,"1 NE 1",2,8,NA,NA,NA
3,0.00564963717170166,0.434350461960011,0.841953666432605,0.275326665529585,0.0771573362022738,"1 S 1",2,8,NA,NA,NA
5,0.311274057615396,0.379820881514894,0.991638768152416,0.0363351979431484,0.0114940472252486,"1 W 1",2,8,NA,NA,NA
6,0.256479670019081,0.47413829622602,0.952880722435668,0.0605904754219666,0.0165543963114076,"1 W 3",2,8,NA,NA,NA
4,0.123649335893453,0.0316214845253461,0.69998889860172,0.076721369825607,0.00692239794767148,"1 E 3",2,8,NA,NA,NA
5,0.219680528428397,0.650470390138952,0.633652693370273,0.102347270158556,0.0280575502722186,"1 S 3",2,8,NA,NA,NA
7,0.16383803739671,0.524701666309734,0.899135768764903,0.147734677840584,0.045739842320991,"4 NE 1",2,8,NA,NA,NA
3,0.159916868406974,0.0210046886538333,0.991105211251147,0.0096324961578336,0.00191350166641977,"4 S 3",2,8,NA,NA,NA
4,0.0081857670036733,0.613380784318514,0.85234647453574,0.143471634695579,0.0216583441960906,"4 NE 3",2,8,NA,NA,NA
5,0.185404837312991,0.233890154617087,0.865721354991823,0.16113049029386,0.0348160758395913,"4 NW 1",2,8,NA,NA,NA
2,NA,NA,NA,0.0301921784554482,0.0094632836792558,"5 S 3",2,8,NA,NA,NA
7,0.195717554251736,0.540087360445047,0.710268143315989,0.068629088386948,0.00959651930119874,"4 S 1",2,8,NA,NA,NA
5,0.263366483954996,0.505194772698461,0.862562297365698,0.157267351065556,0.043305729865953,"1 NE 3",2,8,NA,NA,NA
3,0.0221687972538056,0.681638620615139,0.729654168519724,0.236306532720638,0.0616660296827288,"4 W 3",2,8,NA,NA,NA
1,NA,NA,NA,0,0,"4 E 1",2,8,NA,NA,NA
4,0.185279580346234,0.850682789738457,0.858223639352044,0.219949702764639,0.068480913824911,"5 E 1",2,8,NA,NA,NA
4,0.0840794968355737,0.465976750425668,0.98612300827259,0.0458762381478098,0.0137788827956842,"5 NE 3",2,8,NA,NA,NA
2,NA,NA,NA,0.0655105561269561,0.0123452931221559,"5 E 3",2,8,NA,NA,NA
6,0.165129919923938,0.484454674239974,0.960167831211808,0.119252898120797,0.0218846692851753,"5 N 1",2,8,NA,NA,NA
3,0.180792541148445,0.152055571558897,0.963189284108942,0.0833603886519899,0.0242438434415854,"5 N 3",2,8,NA,NA,NA
2,NA,NA,NA,0.0300475515484663,0.00941795255316819,"4 NW 3",2,8,NA,NA,NA
3,0.0060241181266791,0.713400601183758,0.522213780244956,0.0572023215887112,0.00444808931187838,"1 N 1",2,8,NA,NA,NA
3,0.180821950936486,0.296185471856935,0.93885220089397,0.118155600073463,0.0301581045603427,"4 E 3",2,8,NA,NA,NA
1,NA,NA,NA,0,0,"5 W 1",2,8,NA,NA,NA
3,0.180808873666226,0.236815012695183,0.911520351176152,0.0918056941286589,0.0156566648370144,"4 W 1",2,8,NA,NA,NA
3,0.160780785759585,0.783625108070775,0.654597897548264,0.0928099135338371,0.0295403953683485,"5 S 1",2,8,NA,NA,NA
2,NA,NA,NA,0.0734835576514176,0.0111184381586797,"5 NE 1",2,8,NA,NA,NA
4,0.149077287178123,0.556522989998337,0.955469245208086,0.145442469242828,0.0293707726919447,"5 W 3",2,9,NA,NA,NA
